state,city,station_count,mean_reported_aqi,max_reported_aqi,mean_source_confidence,mean_environmental_risk_score,dominant_city_source
Rajasthan,Dausa,1,431.51,431.51,27.85,41.62,Photochemical smog
Rajasthan,Dholpur,1,323.85,323.85,27.25,31.63,Photochemical smog
Rajasthan,Dungarpur,1,376.57,376.57,24.98,42.88,Biomass / fine-particle combustion
Rajasthan,Hanumangarh,1,300.0,300.0,34.12,31.6,Photochemical smog
Rajasthan,Jaipur,6,421.68,500.0,38.32,65.03,Vehicular traffic
Rajasthan,Jaisalmer,1,228.26,228.26,25.59,23.63,Photochemical smog
Rajasthan,Jalore,1,256.96,256.96,27.33,27.56,Photochemical smog
Rajasthan,Jhalawar,1,437.74,437.74,26.69,46.73,Photochemical smog
Rajasthan,Jhunjhunu,1,200.0,200.0,27.47,20.51,Photochemical smog
Rajasthan,Jodhpur,5,282.28,456.42,29.31,29.7,Photochemical smog
Rajasthan,Karauli,1,306.27,306.27,28.03,30.35,Photochemical smog
Rajasthan,Khairthal,1,306.27,306.27,25.16,29.45,Photochemical smog
Rajasthan,Kota,3,320.64,406.6,27.13,34.44,Photochemical smog
Rajasthan,Nagaur,1,306.27,306.27,26.31,31.31,Photochemical smog
Rajasthan,Pali,1,370.71,370.71,37.18,39.43,Biomass / fine-particle combustion
Rajasthan,Pratapgarh,1,300.0,300.0,20.7,30.66,Photochemical smog
Rajasthan,Rajsamand,1,382.43,382.43,23.12,45.08,Photochemical smog
Rajasthan,Sawai Madhopur,1,285.65,285.65,30.22,28.85,Photochemical smog
Rajasthan,Sikar,1,242.61,242.61,26.44,25.51,Photochemical smog
Rajasthan,Sri Ganganagar,1,306.27,306.27,43.84,33.92,Photochemical smog
Rajasthan,Tonk,1,388.28,388.28,26.26,38.98,Photochemical smog
Rajasthan,Udaipur,1,400.0,400.0,27.64,44.71,Biomass / fine-particle combustion
Sikkim,Gangtok,1,124.81,124.81,32.08,28.16,Biomass / fine-particle combustion
Tamil Nadu,Chennai,6,331.7,500.0,41.1,58.73,Construction / road dust
Tamil Nadu,Coimbatore,1,187.47,187.47,23.95,24.81,Biomass / fine-particle combustion
Tamil Nadu,Cuddalore,2,59.0,59.0,0.0,13.74,Insufficient pollutant signal
Tamil Nadu,Gummidipoondi,1,259.03,259.03,26.87,33.13,Construction / road dust
Tamil Nadu,Madurai,1,,,0.0,,Insufficient pollutant signal
Tamil Nadu,Thoothukudi,1,376.57,376.57,32.26,40.82,Photochemical smog
Telangana,Hyderabad,12,301.24,431.51,32.75,54.5,Vehicular traffic
Tripura,Agartala,1,341.42,341.42,23.94,35.64,Photochemical smog
Uttar Pradesh,Agra,6,313.6,341.42,33.93,56.21,Vehicular traffic
Uttar Pradesh,Baghpat,1,256.96,256.96,26.37,32.12,Photochemical smog
Uttar Pradesh,Bareilly,2,284.54,394.14,28.52,41.62,Biomass / fine-particle combustion
Uttar Pradesh,Bulandshahr,1,388.28,388.28,25.61,42.4,Photochemical smog
Uttar Pradesh,Firozabad,2,371.46,419.06,24.95,40.25,Photochemical smog
Uttar Pradesh,Ghaziabad,5,456.34,500.0,38.97,69.13,Vehicular traffic
Uttar Pradesh,Gorakhpur,1,137.34,137.34,20.54,31.16,Photochemical smog
Uttar Pradesh,Greater Noida,2,345.18,419.06,27.83,37.78,Construction / road dust
Uttar Pradesh,Hapur,1,114.66,114.66,27.13,17.94,Construction / road dust
Uttar Pradesh,Jhansi,1,174.94,174.94,19.57,24.24,Photochemical smog
Uttar Pradesh,Kanpur,3,421.86,500.0,38.42,65.84,Vehicular traffic
Uttar Pradesh,Khora,1,500.0,500.0,62.73,51.71,Biomass / fine-particle combustion
Uttar Pradesh,Khurja,1,271.3,271.3,27.38,31.27,Photochemical smog
Uttar Pradesh,Lucknow,6,380.95,456.42,34.35,67.07,Vehicular traffic
Uttar Pradesh,Mathura,1,300.0,300.0,25.65,32.32,Photochemical smog
Uttar Pradesh,Meerut,4,441.95,500.0,35.1,52.2,Photochemical smog
Uttar Pradesh,Modinagar,1,,,9.72,,Industrial combustion
Uttar Pradesh,Moradabad,6,391.84,500.0,27.38,50.59,Biomass / fine-particle combustion
Uttar Pradesh,Muzaffarnagar,1,462.64,462.64,39.25,55.92,Biomass / fine-particle combustion
Uttar Pradesh,Noida,4,397.87,487.55,36.42,67.64,Construction / road dust
Uttar Pradesh,Prayagraj,3,216.48,256.96,25.15,32.25,Biomass / fine-particle combustion
Uttar Pradesh,Raebareli,2,500.0,500.0,16.79,59.69,Biomass / fine-particle combustion
Uttar Pradesh,Varanasi,4,212.68,323.85,26.75,35.87,Biomass / fine-particle combustion
Uttar Pradesh,Vrindavan,1,200.0,200.0,28.37,23.23,Photochemical smog
Uttarakhand,Dehradun,1,200.0,200.0,33.65,33.75,Biomass / fine-particle combustion
Uttarakhand,Kashipur,1,306.27,306.27,29.9,41.83,Biomass / fine-particle combustion
Uttarakhand,Rishikesh,1,419.06,419.06,23.95,51.27,Construction / road dust
West Bengal,Asansol,4,361.65,481.32,24.75,45.26,Photochemical smog
West Bengal,Barrackpore,1,425.28,425.28,27.04,48.47,Biomass / fine-particle combustion
West Bengal,Durgapur,3,225.9,341.42,19.29,31.24,Construction / road dust
West Bengal,Haldia,1,419.06,419.06,24.07,59.95,Industrial combustion
West Bengal,Howrah,5,342.42,500.0,26.93,45.36,Biomass / fine-particle combustion
West Bengal,Kolkata,7,345.45,450.19,34.59,65.93,Vehicular traffic
West Bengal,Siliguri,1,394.14,394.14,26.62,51.65,Photochemical smog
