state,city,station_count,valid_station_count,mean_reported_aqi,max_reported_aqi,mean_weather_trapping_score,mean_urban_pressure_score,mean_road_density_proxy,mean_environmental_risk_score
Tamil Nadu,Cuddalore,2,1,59.0,59.0,66.1,15.0,20.0,13.74
Tamil Nadu,Gummidipoondi,1,1,259.03,259.03,64.67,15.0,20.0,33.13
Tamil Nadu,Madurai,1,0,,,62.81,15.0,20.0,
Tamil Nadu,Thoothukudi,1,1,376.57,376.57,56.86,15.0,20.0,40.82
Telangana,Hyderabad,12,12,301.24,431.51,56.76,60.0,55.0,54.5
Tripura,Agartala,1,1,341.42,341.42,52.29,15.0,20.0,35.64
Uttar Pradesh,Agra,6,6,313.6,341.42,56.14,61.67,56.67,56.21
Uttar Pradesh,Baghpat,1,1,256.96,256.96,62.7,15.0,20.0,32.12
Uttar Pradesh,Bareilly,2,2,284.54,394.14,79.32,15.0,20.0,41.62
Uttar Pradesh,Bulandshahr,1,1,388.28,388.28,58.04,15.0,20.0,42.4
Uttar Pradesh,Firozabad,2,2,371.46,419.06,56.64,15.0,20.0,40.25
Uttar Pradesh,Ghaziabad,5,5,456.34,500.0,57.22,60.0,55.0,69.13
Uttar Pradesh,Gorakhpur,1,1,137.34,137.34,87.1,15.0,20.0,31.16
Uttar Pradesh,Greater Noida,2,2,345.18,419.06,56.58,15.0,20.0,37.78
Uttar Pradesh,Hapur,1,1,114.66,114.66,60.46,15.0,20.0,17.94
Uttar Pradesh,Jhansi,1,1,174.94,174.94,62.13,15.0,20.0,24.24
Uttar Pradesh,Kanpur,3,3,421.86,500.0,57.01,60.0,55.0,65.84
Uttar Pradesh,Khora,1,1,500.0,500.0,55.43,15.0,20.0,51.71
Uttar Pradesh,Khurja,1,1,271.3,271.3,57.46,15.0,20.0,31.27
Uttar Pradesh,Lucknow,6,6,380.95,456.42,69.09,60.0,55.0,67.07
Uttar Pradesh,Mathura,1,1,300.0,300.0,53.58,15.0,20.0,32.32
Uttar Pradesh,Meerut,4,4,441.95,500.0,64.44,20.0,22.5,52.2
Uttar Pradesh,Modinagar,1,0,,,60.67,15.0,20.0,
Uttar Pradesh,Moradabad,6,6,391.84,500.0,76.86,15.0,20.0,50.59
Uttar Pradesh,Muzaffarnagar,1,1,462.64,462.64,73.85,15.0,20.0,55.92
Uttar Pradesh,Noida,4,4,397.87,487.55,54.97,70.0,65.0,67.64
Uttar Pradesh,Prayagraj,3,3,216.48,256.96,72.04,15.0,20.0,32.25
Uttar Pradesh,Raebareli,2,1,500.0,500.0,74.54,15.0,20.0,59.69
Uttar Pradesh,Varanasi,4,4,212.68,323.85,81.57,15.0,20.0,35.87
Uttar Pradesh,Vrindavan,1,1,200.0,200.0,54.11,15.0,20.0,23.23
Uttarakhand,Dehradun,1,1,200.0,200.0,79.33,15.0,20.0,33.75
Uttarakhand,Kashipur,1,1,306.27,306.27,74.98,15.0,20.0,41.83
Uttarakhand,Rishikesh,1,1,419.06,419.06,72.44,15.0,20.0,51.27
West Bengal,Asansol,4,3,361.65,481.32,66.1,20.0,22.5,45.26
West Bengal,Barrackpore,1,1,425.28,425.28,64.32,15.0,20.0,48.47
West Bengal,Durgapur,3,3,225.9,341.42,57.68,20.0,38.33,31.24
West Bengal,Haldia,1,1,419.06,419.06,72.8,35.0,30.0,59.95
West Bengal,Howrah,5,4,342.42,500.0,75.34,15.0,20.0,45.36
West Bengal,Kolkata,7,7,345.45,450.19,74.28,60.0,55.0,65.93
West Bengal,Siliguri,1,1,394.14,394.14,78.9,15.0,20.0,51.65
