station_id,station_name,city,state,lat,lon,timestamp,snapshot_fetch_time,PM2.5,PM10,NO2,SO2,CO,O3,NH3,aqi,aqi_category,dominant_pollutant,aqi_is_valid,aqi_quality_flag,reported_aqi,reported_aqi_category,reported_dominant_pollutant,weather_time,temperature_2m,relative_humidity_2m,precipitation,rain,wind_speed_10m,wind_direction_10m,surface_pressure,cloud_cover,weather_trapping_score,weather_trapping_category,weather_data_available,geo_region_proxy,landuse_type_proxy,landuse_data_source,urban_pressure_score,urban_pressure_category,road_density_proxy,road_density_category,road_density_data_source,geospatial_data_level,environmental_risk_score,environmental_risk_category,notebook_02_processed_time
bihar__bettiah__kamalnath_nagar_bettiah_bspcb,"Kamalnath Nagar, Bettiah - BSPCB",Bettiah,Bihar,26.80365,84.51954,2026-07-16 05:00:00,2026-07-16 05:38:19,,,,14.0,29.0,22.0,,370.71,Very Poor,CO,False,Insufficient pollutants,,Unknown,,2026-07-16T10:30,29.8,82,0.1,0.1,9.7,114,994.9,99,73.84,High trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,,Unknown,2026-07-16 10:51:20
bihar__bhagalpur__dm_office_kachari_chowk_bhagalpur_bspcb,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bhagalpur,Bihar,25.251013,86.989001,2026-07-16 05:00:00,2026-07-16 05:38:19,34.0,79.0,11.0,16.0,21.0,19.0,4.0,323.85,Very Poor,CO,True,Valid AQI,323.85,Very Poor,CO,2026-07-16T10:30,32.5,68,0.0,0.0,11.5,86,996.7,69,68.69,High trapping,True,East India,Traffic / commercial proxy,Proxy from station/city naming,30,Moderate urban pressure,75,High road density proxy,Proxy from city/station naming,Proxy geospatial features,53.17,High,2026-07-16 10:51:20
bihar__bhagalpur__mayaganj_bhagalpur_bspcb,"Mayaganj, Bhagalpur - BSPCB",Bhagalpur,Bihar,25.265194,87.012947,2026-07-16 05:00:00,2026-07-16 05:38:19,,,8.0,28.0,41.0,22.0,3.0,443.96,Severe,CO,False,Insufficient pollutants,,Unknown,,2026-07-16T10:30,32.5,68,0.0,0.0,11.5,86,997.0,69,68.69,High trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,,Unknown,2026-07-16 10:51:20
bihar__bihar_sharif__d_m_colony_bihar_sharif_bspcb,"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,Bihar,25.204762,85.51496,2026-07-16 05:00:00,2026-07-16 05:38:19,29.0,22.0,9.0,7.0,104.0,2.0,3.0,500.0,Severe,CO,True,Valid AQI,500.0,Severe,CO,2026-07-16T10:30,33.0,68,0.0,0.0,5.6,94,996.0,100,82.47,Very high trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,62.99,High,2026-07-16 10:51:20
bihar__buxar__charitra_van_buxar_bspcb,"Charitra Van, Buxar - BSPCB",Buxar,Bihar,25.56752,83.966379,2026-07-16 05:00:00,2026-07-16 05:38:19,51.0,44.0,9.0,30.0,25.0,41.0,3.0,347.28,Very Poor,CO,True,Valid AQI,347.28,Very Poor,CO,2026-07-16T10:30,32.3,72,0.1,0.0,3.5,99,995.0,98,87.54,Very high trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,50.89,High,2026-07-16 10:51:20
bihar__chhapra__darshan_nagar_chhapra_bspcb,"Darshan Nagar, Chhapra - BSPCB",Chhapra,Bihar,25.7808257,84.7446768,2026-07-16 05:00:00,2026-07-16 05:38:19,72.0,111.0,2.0,21.0,85.0,3.0,11.0,500.0,Severe,CO,True,Valid AQI,500.0,Severe,CO,2026-07-16T10:30,32.4,68,0.0,0.0,11.5,135,996.2,100,71.79,High trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,58.54,High,2026-07-16 10:51:20
bihar__gaya__kareemganj_gaya_bspcb,"Kareemganj, Gaya - BSPCB",Gaya,Bihar,24.792403,84.992416,2026-07-16 05:00:00,2026-07-16 05:38:19,60.0,97.0,12.0,41.0,38.0,29.0,1.0,425.28,Severe,CO,True,Valid AQI,425.28,Severe,CO,2026-07-16T10:30,32.0,69,0.0,0.0,3.6,233,990.1,20,78.45,High trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,54.36,High,2026-07-16 10:51:20
bihar__gaya__sfti_kusdihra_gaya_bspcb,"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,24.762518,84.982348,2026-07-16 05:00:00,2026-07-16 05:38:19,41.0,51.0,24.0,8.0,23.0,27.0,6.0,335.56,Very Poor,CO,True,Valid AQI,335.56,Very Poor,CO,2026-07-16T10:30,32.0,69,0.0,0.0,3.6,233,988.4,20,78.45,High trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,46.01,Moderate,2026-07-16 10:51:20
bihar__hajipur__industrial_area_hajipur_bspcb,"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,25.697189,85.2459,2026-07-16 05:00:00,2026-07-16 05:38:19,74.0,71.0,13.0,4.0,35.0,208.0,15.0,406.6,Severe,CO,True,Valid AQI,406.6,Severe,CO,2026-07-16T10:30,32.0,73,0.1,0.0,7.2,118,997.3,94,80.81,Very high trapping,True,East India,Industrial / mixed urban proxy,Proxy from station/city naming,35,Moderate urban pressure,30,Moderate road density proxy,Proxy from city/station naming,Proxy geospatial features,62.13,High,2026-07-16 10:51:20
bihar__katihar__mirchaibari_katihar_bspcb,"Mirchaibari, Katihar - BSPCB",Katihar,Bihar,25.560083,87.553265,2026-07-16 05:00:00,2026-07-16 05:38:19,9.0,10.0,2.0,22.0,90.0,27.0,1.0,500.0,Severe,CO,True,Valid AQI,500.0,Severe,CO,2026-07-16T10:30,31.8,74,0.1,0.0,11.5,93,998.5,100,73.99,High trapping,True,East India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,59.46,High,2026-07-16 10:51:20
