state,city,station_count,valid_station_count,mean_aqi,max_aqi,severe_station_count,very_poor_station_count,poor_station_count,city_risk_level,data_quality
Maharashtra,Dombivli,1,1,242.61,242.61,0,0,1,Poor,Valid station data available
Maharashtra,Hingoli,1,1,187.47,187.47,0,0,0,Moderate,Valid station data available
Maharashtra,Jalna,1,1,213.91,213.91,0,0,1,Poor,Valid station data available
Maharashtra,Kalyan,2,1,437.74,437.74,1,0,0,Severe,Valid station data available
Maharashtra,Kolhapur,2,2,162.4,174.94,0,0,0,Moderate,Valid station data available
Maharashtra,Latur,1,1,228.26,228.26,0,0,1,Poor,Valid station data available
Maharashtra,Mahad,1,1,329.7,329.7,0,1,0,Very Poor,Valid station data available
Maharashtra,Malegaon,1,1,271.3,271.3,0,0,1,Poor,Valid station data available
Maharashtra,Mira-Bhayandar,1,1,300.0,300.0,0,0,1,Poor,Valid station data available
Maharashtra,Mumbai,21,20,303.26,456.42,4,10,2,Very Poor,Valid station data available
Maharashtra,Nagpur,4,4,300.65,364.85,0,2,2,Very Poor,Valid station data available
Maharashtra,Nanded,1,1,323.85,323.85,0,1,0,Very Poor,Valid station data available
Maharashtra,Nashik,4,4,298.78,394.14,0,2,1,Poor,Valid station data available
Maharashtra,Navi Mumbai,6,6,237.67,481.32,1,1,2,Poor,Valid station data available
Maharashtra,Parbhani,1,1,228.26,228.26,0,0,1,Poor,Valid station data available
Maharashtra,Pimpri-Chinchwad,6,5,295.35,431.51,1,2,0,Poor,Valid station data available
Maharashtra,Pune,5,5,423.16,500.0,3,1,1,Severe,Valid station data available
Maharashtra,Sangli,1,1,242.61,242.61,0,0,1,Poor,Valid station data available
Maharashtra,Solapur,2,2,234.34,306.27,0,1,0,Poor,Valid station data available
Maharashtra,Thane,2,2,249.78,271.3,0,0,2,Poor,Valid station data available
Maharashtra,Ulhasnagar,2,2,332.63,335.56,0,2,0,Very Poor,Valid station data available
Maharashtra,Virar,1,1,353.14,353.14,0,1,0,Very Poor,Valid station data available
Meghalaya,Byrnihat,1,1,214.66,214.66,0,0,1,Poor,Valid station data available
Meghalaya,Shillong,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Mizoram,Aizawl,1,1,112.28,112.28,0,0,0,Moderate,Valid station data available
Nagaland,Kohima,1,1,124.81,124.81,0,0,0,Moderate,Valid station data available
Odisha,Angul,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Odisha,Balasore,1,1,394.14,394.14,0,1,0,Very Poor,Valid station data available
Odisha,Barbil,1,1,312.13,312.13,0,1,0,Very Poor,Valid station data available
Odisha,Baripada,1,1,124.81,124.81,0,0,0,Moderate,Valid station data available
Odisha,Bhubaneswar,2,2,462.64,481.32,2,0,0,Severe,Valid station data available
Odisha,Bileipada,1,1,341.42,341.42,0,1,0,Very Poor,Valid station data available
Odisha,Brajrajnagar,1,1,364.85,364.85,0,1,0,Very Poor,Valid station data available
Odisha,Byasanagar,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Odisha,Cuttack,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
