station_name,city,state,lat,lon,timestamp,PM2.5,PM10,NO2,SO2,CO,O3,NH3,PM2.5_sub_index,PM10_sub_index,NO2_sub_index,SO2_sub_index,CO_sub_index,O3_sub_index,NH3_sub_index,aqi,dominant_pollutant,aqi_category,snapshot_fetch_time,station_id,valid_pollutant_count,has_particulate,aqi_is_valid,aqi_quality_flag,reported_aqi,reported_aqi_category,reported_dominant_pollutant
"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,Bihar,25.859655,85.77944,2026-07-16 05:00:00,45.0,41.0,8.0,,4.0,8.0,1.0,74.66,41.0,10.0,,124.81,8.0,0.25,124.81,CO,Moderate,2026-07-16 05:38:19,bihar__samastipur__dm_office_kasipur_samastipur_bspcb,6,True,True,Valid AQI,124.81,Moderate,CO
"Dada Peer, Sasaram - BSPCB",Sasaram,Bihar,24.952822,84.002396,2026-07-16 05:00:00,,,,4.0,53.0,17.0,,,,,5.0,500.0,17.0,,500.0,CO,Severe,2026-07-16 05:38:19,bihar__sasaram__dada_peer_sasaram_bspcb,3,False,False,Insufficient pollutants,,Unknown,
"Chitragupta Nagar, Siwan - BSPCB",Siwan,Bihar,26.2271665,84.3570427,2026-07-16 05:00:00,,,2.0,8.0,77.0,8.0,1.0,,,2.5,10.0,500.0,8.0,0.25,500.0,CO,Severe,2026-07-16 05:38:19,bihar__siwan__chitragupta_nagar_siwan_bspcb,5,False,False,Insufficient pollutants,,Unknown,
"Sector 22, Chandigarh - CPCC",Chandigarh,Chandigarh,30.735567,76.775714,2026-07-16 05:00:00,39.0,54.0,8.0,6.0,37.0,15.0,16.0,64.52,54.0,10.0,7.5,419.06,15.0,4.0,419.06,CO,Severe,2026-07-16 05:38:19,chandigarh__chandigarh__sector_22_chandigarh_cpcc,7,True,True,Valid AQI,419.06,Severe,CO
"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,30.751462,76.762879,2026-07-16 05:00:00,65.0,90.0,7.0,8.0,19.0,20.0,13.0,114.66,90.0,8.75,10.0,312.13,20.0,3.25,312.13,CO,Very Poor,2026-07-16 05:38:19,chandigarh__chandigarh__sector_25_chandigarh_cpcc,7,True,True,Valid AQI,312.13,Very Poor,CO
"Sector-53, Chandigarh - CPCC",Chandigarh,Chandigarh,30.719859,76.738637,2026-07-16 05:00:00,37.0,39.0,30.0,3.0,48.0,11.0,21.0,61.14,39.0,37.5,3.75,487.55,11.0,5.25,487.55,CO,Severe,2026-07-16 05:38:19,chandigarh__chandigarh__sector_53_chandigarh_cpcc,7,True,True,Valid AQI,487.55,Severe,CO
"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,21.194815,81.31477,2026-07-16 05:00:00,27.0,51.0,12.0,12.0,17.0,6.0,3.0,45.0,51.0,15.0,15.0,300.0,6.0,0.75,300.0,CO,Poor,2026-07-16 05:38:19,chhattisgarh__bhilai__32bungalows_bhilai_cecb,7,True,True,Valid AQI,300.0,Poor,CO
"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,Chhattisgarh,21.185571,81.343175,2026-07-16 05:00:00,17.0,28.0,16.0,10.0,23.0,11.0,1.0,28.33,28.0,20.0,12.5,335.56,11.0,0.25,335.56,CO,Very Poor,2026-07-16 05:38:19,chhattisgarh__bhilai__civic_center_bhilai_bhilai_steel_plant,7,True,True,Valid AQI,335.56,Very Poor,CO
"Hathkhoj, Bhilai - CECB",Bhilai,Chhattisgarh,21.224231,81.40835,2026-07-16 05:00:00,36.0,56.0,23.0,14.0,31.0,7.0,5.0,59.45,56.0,28.75,17.5,382.43,7.0,1.25,382.43,CO,Very Poor,2026-07-16 05:38:19,chhattisgarh__bhilai__hathkhoj_bhilai_cecb,7,True,True,Valid AQI,382.43,Very Poor,CO
"Mangala, Bilaspur - NTPC",Bilaspur,Chhattisgarh,22.08815,82.13737,2026-07-16 05:00:00,40.0,49.0,17.0,13.0,31.0,,,66.21,49.0,21.25,16.25,382.43,,,382.43,CO,Very Poor,2026-07-16 05:38:19,chhattisgarh__bilaspur__mangala_bilaspur_ntpc,5,True,True,Valid AQI,382.43,Very Poor,CO
"Nawapara SECL Colony, Chhal - CECB",Chhal,Chhattisgarh,22.118125,83.140608,2026-07-16 05:00:00,46.0,37.0,7.0,9.0,11.0,46.0,,76.34,37.0,8.75,11.25,213.91,46.0,,213.91,CO,Poor,2026-07-16 05:38:19,chhattisgarh__chhal__nawapara_secl_colony_chhal_cecb,6,True,True,Valid AQI,213.91,Poor,CO
"Rampur, Korba - CECB",Korba,Chhattisgarh,22.368195,82.746431,2026-07-16 05:00:00,23.0,39.0,14.0,4.0,5.0,9.0,1.0,38.33,39.0,17.5,5.0,137.34,9.0,0.25,137.34,CO,Moderate,2026-07-16 05:38:19,chhattisgarh__korba__rampur_korba_cecb,7,True,True,Valid AQI,137.34,Moderate,CO
"Urja Nagar, Korba - CECB",Korba,Chhattisgarh,22.348441,82.549611,2026-07-16 05:00:00,31.0,48.0,7.0,8.0,22.0,2.0,1.0,51.0,48.0,8.75,10.0,329.7,2.0,0.25,329.7,CO,Very Poor,2026-07-16 05:38:19,chhattisgarh__korba__urja_nagar_korba_cecb,7,True,True,Valid AQI,329.7,Very Poor,CO
